name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.070100375,0.15217106283815307,0.8141814697427582,0.1920860869149958,0.8248691678337141,0.19879970391999854,0.8270067074519054,0.19925307766066283
vanilla_split1,0.06997764,0.15394238301759475,0.8144763027935431,0.1997337492493163,0.8226579199528267,0.19793684827007735,0.8243532099948404,0.19742710303102495
vanilla_split2,0.06990874,0.1540736762332185,0.8125598879634407,0.19687018759196745,0.820962629910813,0.19767333143869958,0.8202255472838506,0.19317209377438865
vanilla_split3,0.07084508,0.15012880785508054,0.8138866366919731,0.196115543310095,0.8245743347829292,0.19619538578310677,0.821257462961598,0.19153354346889553
vanilla_split4,0.070674516,0.15242088003529536,0.810864597921427,0.2017916375217085,0.822436795164738,0.20159477742171994,0.8231738777917005,0.19562311486941694
vanilla_split5,0.0707072,0.1531154781467227,0.8104223483452495,0.19553310004456226,0.8226579199528267,0.19699697703212185,0.8213311712242942,0.19523135237915373
vanilla_split6,0.07070259,0.15712361309588158,0.810864597921427,0.20114272956076967,0.8208889216481168,0.2001525465342738,0.822141962113953,0.1982566948805207
vanilla_split7,0.07049936,0.1532816744545507,0.811454264022997,0.2057321949930792,0.8210363381735093,0.20046765984169312,0.819193631606103,0.19318832365774224
vanilla_split8,0.07011562,0.15212797046164891,0.8146237193189356,0.19946433804021574,0.8229527530036117,0.19933346664660367,0.8240583769440555,0.19569688522123402
vanilla_split9,0.06999202,0.15682963099885244,0.8104960566079458,0.19082642486786963,0.8194147563941918,0.2001186742562061,0.8194884646568881,0.1911374436322341
