name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.069750056,0.12978588542561667,0.8169086754625193,0.19947178887843303,0.8249428760964104,0.1939532069950337,0.8273015405026903,0.187409159298848
vanilla_split1,0.069657154,0.13168036391295146,0.8175720498267856,0.20466297404743825,0.8229527530036117,0.19601380761652348,0.8254588339352842,0.192859149407146
vanilla_split2,0.06959536,0.1306415716155443,0.8144763027935431,0.20314498825638397,0.8211837546989017,0.1927488403027836,0.8219945455885604,0.1832011018328086
vanilla_split3,0.070504524,0.12747920353162367,0.8160978845728606,0.20248016762104215,0.8241320852067516,0.19534704108217063,0.8253114174098917,0.19646771003336383
vanilla_split4,0.07037689,0.13148901661316212,0.8143288862681507,0.20728360069883478,0.8211100464362056,0.19544768761857753,0.8232475860543967,0.1900000768113669
vanilla_split5,0.070394576,0.1313712249441999,0.8137392201665806,0.20343354964343568,0.820962629910813,0.19403053934459594,0.8220682538512567,0.18866193627130493
vanilla_split6,0.070284374,0.13159954505047367,0.8142551780054544,0.20678560633701487,0.820667796860028,0.19440495602610164,0.822141962113953,0.19140530621307997
vanilla_split7,0.07010661,0.12917247862755693,0.8132232623277069,0.21213258658292947,0.8193410481314956,0.19625826966360355,0.8228790447409154,0.19202579756199692
vanilla_split8,0.06979501,0.12979961911516147,0.8160241763101643,0.20566521177010982,0.8222893786393455,0.19641516821230864,0.8246480430456254,0.19499914369322635
vanilla_split9,0.06967902,0.13543847048282476,0.812633596226137,0.20107531004150592,0.8202255472838506,0.1968007565483833,0.821552296012383,0.19408112147172113
