name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.01656904,0.044382184786538825,0.5856293895191789,0.17561315905419306,0.6434359805510534,0.292790004825546,0.6601836844948676,0.32433570064830164
vanilla_split1,0.017000856,0.04314710960525134,0.5910318746623446,0.16045380875202592,0.6353322528363047,0.27147487844408424,0.6337115072933549,0.31199351701782824
vanilla_split2,0.016992122,0.0440120891884086,0.5985953538627768,0.226462538797303,0.6428957320367369,0.26234212954228875,0.6472177201512695,0.33635484963056955
vanilla_split3,0.016677056,0.05654282922788145,0.5883306320907618,0.14700115748942905,0.6358725013506212,0.2760651658674478,0.6364127498649379,0.3311797730690793
vanilla_split4,0.016070887,0.04116565440056463,0.5748244192328471,0.17856588244428911,0.6423554835224203,0.26978026244273623,0.6526202052944354,0.2842262598027797
vanilla_split5,0.016804902,0.04785375062642938,0.5780659103187467,0.17921236291126624,0.6520799567801189,0.2767688996502556,0.6482982171799028,0.3034824099131178
vanilla_split6,0.016266992,0.043905108578791985,0.5807671528903295,0.17765995051254857,0.6180443003781739,0.2919523977848474,0.6229065370070233,0.33032088291897416
vanilla_split7,0.016381588,0.04325316617887842,0.593192868719611,0.18172120312608703,0.6412749864937871,0.2762265872003587,0.6493787142085359,0.33884109057458467
vanilla_split8,0.016577601,0.04197181152663876,0.5888708806050783,0.20058044124906,0.6326310102647218,0.24987401375382157,0.6326310102647218,0.2948091082241237
vanilla_split9,0.016396446,0.04965745693875251,0.5791464073473798,0.16315717346559594,0.6423554835224203,0.3023241717552122,0.6455969746083198,0.3442957778029606
