name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.04903295,0.02228613875107357,0.6569421934089681,0.2270904580072593,0.6812533765532145,0.29148133772527957,0.6655861696380335,0.3118050164697984
vanilla_split1,0.05025174,0.021884550881066552,0.6499189627228525,0.2382495948136143,0.668827660723933,0.24392220421393843,0.6634251755807672,0.2617504051863857
vanilla_split2,0.0500565,0.019766287801851596,0.6412749864937871,0.22654652962808863,0.6542409508373852,0.2738114005277208,0.6515397082658023,0.25129798137729453
vanilla_split3,0.04965457,0.020033289331553506,0.6477579686655862,0.19499366136741234,0.646677471636953,0.2276238395577918,0.6509994597514857,0.2900534649879133
vanilla_split4,0.047501802,0.02110569798386238,0.6493787142085359,0.2340826151098688,0.653160453808752,0.21794393974687476,0.6634251755807672,0.25034940600978334
vanilla_split5,0.049368385,0.021189256997057912,0.6574824419232848,0.24456392726582157,0.662344678552134,0.2713526088401462,0.6509994597514857,0.33263305322128855
vanilla_split6,0.048272315,0.021555070823414665,0.6450567260940032,0.242751659400652,0.6493787142085359,0.2772750481127999,0.6553214478660183,0.30582459447782884
vanilla_split7,0.047967587,0.02086706753330058,0.6412749864937871,0.18337159775206205,0.6428957320367369,0.25200018552445447,0.6553214478660183,0.26784320091525393
vanilla_split8,0.048891537,0.022134967064835816,0.62182603997839,0.20212974903539763,0.6396542409508373,0.21478006031833818,0.6304700162074555,0.23771084928943756
vanilla_split9,0.048494603,0.020336619621181405,0.6450567260940032,0.25799255231955975,0.6520799567801189,0.2655166597706663,0.6515397082658023,0.35942173742314476
