name,Explained Variance Ratio (train),Maximum Mean Discrepancy (train),Accuracy (linear_svm),Delta_DP (linear_svm),Accuracy (kernel_svm),Delta_DP (kernel_svm),Accuracy (mlp),Delta_DP (mlp)
vanilla_split0,0.40951806,0.010972343274796759,0.7133333333333334,0.012626262626262763,0.73,0.051767676767676685,0.6833333333333333,0.11868686868686873
vanilla_split1,0.40887305,0.011423538597483667,0.7266666666666667,0.08155885897950998,0.7166666666666667,0.07734029730815584,0.6766666666666666,0.22599437525110488
vanilla_split2,0.4064875,0.012245986069502626,0.6833333333333333,0.241315136476427,0.7166666666666667,0.11693548387096775,0.6866666666666666,0.2710918114143921
vanilla_split3,0.41108674,0.012073406446242389,0.6666666666666666,0.0,0.7,0.07936507936507953,0.6866666666666666,0.00694444444444442
vanilla_split4,0.41058603,0.01147998452534792,0.7166666666666667,0.0780676146529804,0.7133333333333334,0.09209906770882381,0.7166666666666667,0.3114229211790187
vanilla_split5,0.40999,0.01238176828084115,0.6933333333333334,0.08055752421450513,0.6866666666666666,0.1032364753130166,0.7066666666666667,0.014410583510512609
vanilla_split6,0.40870252,0.012937501460146468,0.7333333333333333,0.13120347394540954,0.72,0.17772952853598012,0.7033333333333334,0.23976426799007444
vanilla_split7,0.40675235,0.012002958214973457,0.6966666666666667,0.0,0.73,0.1352283239424774,0.6766666666666666,0.14431082331174827
vanilla_split8,0.408607,0.0123085846776406,0.7633333333333333,0.17200000000000015,0.75,0.16400000000000015,0.7233333333333334,0.22799999999999998
vanilla_split9,0.4114878,0.012611199697464938,0.7566666666666667,0.05117866004962779,0.73,0.005583126550868345,0.7666666666666667,0.15074441687344908
